users,ratings,The Hitchhiker's Guide To The Galaxy,Watership Down,The Five People You Meet in Heaven,Speak,I Know Why the Caged Bird Sings,Thirteen Reasons Why,Foundation Series,The Sisterhood of the Travelling Pants,A Great and Terrible Beauty,The Da Vinci Code,The Princess Diaries,Ender's Game,The Hunt for Red October,The Hunger Games,The Great Gatsby,Ranger's Apprentice Series,Inkheart,Neuromancer,Lord of the Flies,The Princess Bride,Dinotopia: A Land Apart from Time,Far North,Practical Magic,Brave New World,The Summer Tree,Flowers For Algernon,Owl in Love,Naruto,Bleach (graphic novel),Kiss the Dust,To Kill a Mockingbird,The Lion the Witch and the Wardrobe,The Bourne Series,Life of Pi,Breathless,Twilight Series,Sabriel,Nineteen Eighty-Four (1984),Eragon,Hatchet,My Sister's Keeper,The Golden Compass,Harry Potter Series,Holes,Shonen Jump Series,The Shadow Club,Bone Series,Maus: A Survivor's Tale,The Joy Luck Club,The Lord of the Rings,The Hobbit,Shattered,The War Of The Worlds,Dealing with Dragons,The Chrysalids,new_ratings,rating_distribution,read_books,liked_books,hated_books,neutral_books,unread_books
Ben,"['5', '0', '0', '0', '0', '0', '0', '1', '0', '1', '-3', '5', '0', '0', '0', '5', '5', '0', '0', '0', '0', '5', '0', '0', '0', '0', '0', '0', '0', '0', '1', '3', '0', '1', '0', '-5', '0', '0', '5', '5', '0', '5', '5', '5', '0', '5', '5', '0', '0', '0', '5', '5', '5', '5', '-5']",5,0,0,0,0,0,0,3,0,3,2,5,0,0,0,5,5,0,0,0,0,5,0,0,0,0,0,0,0,0,3,4,0,3,0,1,0,0,5,5,0,5,5,5,0,5,5,0,0,0,5,5,5,5,1,"[5, 0, 0, 0, 0, 0, 0, 3, 0, 3, 2, 5, 0, 0, 0, 5, 5, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 3, 4, 0, 3, 0, 1, 0, 0, 5, 5, 0, 5, 5, 5, 0, 5, 5, 0, 0, 0, 5, 5, 5, 5, 1]","Counter({0: 31, 5: 16, 3: 4, 1: 2, 2: 1, 4: 1})",24,17,3,4,31
Moose,"['5', '5', '0', '0', '0', '0', '3', '0', '0', '1', '0', '5', '3', '0', '5', '0', '3', '3', '5', '0', '0', '0', '0', '0', '5', '0', '0', '0', '0', '0', '3', '5', '0', '0', '0', '0', '0', '5', '-3', '0', '0', '0', '5', '0', '0', '0', '0', '0', '0', '5', '5', '0', '3', '0', '0']",5,5,0,0,0,0,4,0,0,3,0,5,4,0,5,0,4,4,5,0,0,0,0,0,5,0,0,0,0,0,4,5,0,0,0,0,0,5,2,0,0,0,5,0,0,0,0,0,0,5,5,0,4,0,0,"[5, 5, 0, 0, 0, 0, 4, 0, 0, 3, 0, 5, 4, 0, 5, 0, 4, 4, 5, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 4, 5, 0, 0, 0, 0, 0, 5, 2, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 5, 5, 0, 4, 0, 0]","Counter({0: 36, 5: 11, 4: 6, 3: 1, 2: 1})",19,17,1,1,36
Reuven,"['5', '-5', '0', '0', '0', '0', '-3', '-5', '0', '1', '-5', '5', '0', '1', '0', '1', '-3', '1', '-5', '0', '0', '0', '0', '0', '0', '3', '0', '0', '0', '0', '-5', '1', '0', '1', '0', '-5', '0', '3', '-3', '3', '0', '1', '5', '1', '0', '0', '0', '0', '0', '1', '3', '1', '5', '1', '3']",5,1,0,0,0,0,2,1,0,3,1,5,0,3,0,3,2,3,1,0,0,0,0,0,0,4,0,0,0,0,1,3,0,3,0,1,0,4,2,4,0,3,5,3,0,0,0,0,0,3,4,3,5,3,4,"[5, 1, 0, 0, 0, 0, 2, 1, 0, 3, 1, 5, 0, 3, 0, 3, 2, 3, 1, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 1, 3, 0, 3, 0, 1, 0, 4, 2, 4, 0, 3, 5, 3, 0, 0, 0, 0, 0, 3, 4, 3, 5, 3, 4]","Counter({0: 26, 3: 11, 1: 6, 4: 5, 5: 4, 2: 3})",29,9,9,11,26
Cust1,"['3', '3', '5', '0', '0', '0', '3', '0', '0', '3', '0', '3', '0', '0', '0', '0', '0', '3', '0', '5', '0', '0', '0', '1', '3', '1', '0', '0', '0', '0', '0', '3', '0', '3', '0', '0', '0', '1', '3', '0', '0', '3', '3', '0', '0', '0', '5', '0', '0', '3', '1', '0', '0', '0', '0']",4,4,5,0,0,0,4,0,0,4,0,4,0,0,0,0,0,4,0,5,0,0,0,3,4,3,0,0,0,0,0,4,0,4,0,0,0,3,4,0,0,4,4,0,0,0,5,0,0,4,3,0,0,0,0,"[4, 4, 5, 0, 0, 0, 4, 0, 0, 4, 0, 4, 0, 0, 0, 0, 0, 4, 0, 5, 0, 0, 0, 3, 4, 3, 0, 0, 0, 0, 0, 4, 0, 4, 0, 0, 0, 3, 4, 0, 0, 4, 4, 0, 0, 0, 5, 0, 0, 4, 3, 0, 0, 0, 0]","Counter({0: 35, 4: 13, 3: 4, 5: 3})",20,16,0,4,35
Cust2,"['3', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '1', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '5', '0', '0', '0', '0', '0', '3', '1', '0', '0', '0', '3', '0', '0', '0', '3', '0', '3', '3', '5', '0', '3', '0', '3']",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,4,3,0,0,0,4,0,0,0,4,0,4,4,5,0,4,0,4,"[4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 4, 3, 0, 0, 0, 4, 0, 0, 0, 4, 0, 4, 4, 5, 0, 4, 0, 4]","Counter({0: 43, 4: 8, 3: 2, 5: 2})",12,10,0,2,43
Francois,"['3', '3', '5', '0', '0', '0', '3', '0', '0', '3', '0', '3', '0', '0', '0', '0', '0', '3', '0', '5', '0', '0', '0', '1', '3', '1', '0', '0', '0', '0', '0', '3', '0', '3', '0', '0', '0', '1', '3', '0', '0', '3', '3', '0', '0', '0', '5', '0', '0', '3', '1', '0', '0', '0', '0']",4,4,5,0,0,0,4,0,0,4,0,4,0,0,0,0,0,4,0,5,0,0,0,3,4,3,0,0,0,0,0,4,0,4,0,0,0,3,4,0,0,4,4,0,0,0,5,0,0,4,3,0,0,0,0,"[4, 4, 5, 0, 0, 0, 4, 0, 0, 4, 0, 4, 0, 0, 0, 0, 0, 4, 0, 5, 0, 0, 0, 3, 4, 3, 0, 0, 0, 0, 0, 4, 0, 4, 0, 0, 0, 3, 4, 0, 0, 4, 4, 0, 0, 0, 5, 0, 0, 4, 3, 0, 0, 0, 0]","Counter({0: 35, 4: 13, 3: 4, 5: 3})",20,16,0,4,35
Jim C,"['5', '3', '0', '0', '0', '0', '3', '0', '0', '0', '0', '0', '0', '0', '1', '0', '0', '0', '0', '0', '0', '0', '0', '3', '0', '3', '0', '0', '0', '0', '0', '5', '0', '5', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '3', '3', '3', '0', '0', '0', '0']",5,4,0,0,0,0,4,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,0,0,0,0,"[5, 4, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 4, 0, 0, 0, 0, 0, 5, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 4, 4, 0, 0, 0, 0]","Counter({0: 44, 4: 7, 5: 3, 3: 1})",11,10,0,1,44
Iren,"['0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '1', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '5', '0', '0', '0', '1', '0', '0', '0', '1', '0', '0', '5', '0', '0', '0', '5', '3', '5', '0', '0', '0', '0', '5', '3', '0', '3', '0', '-5']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,5,0,0,0,3,0,0,0,3,0,0,5,0,0,0,5,4,5,0,0,0,0,5,4,0,4,0,1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 3, 0, 0, 0, 3, 0, 0, 5, 0, 0, 0, 5, 4, 5, 0, 0, 0, 0, 5, 4, 0, 4, 0, 1]","Counter({0: 43, 5: 5, 3: 3, 4: 3, 1: 1})",12,8,1,3,43
Cust3,"['0', '0', '0', '-3', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '3', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '5', '5', '0', '0', '0', '0', '0', '0', '0', '0', '0', '1', '1', '0', '-3', '5', '3', '0', '0', '1', '0', '0', '0', '1', '0', '0', '0', '0']",0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,3,3,0,2,5,4,0,0,3,0,0,0,3,0,0,0,0,"[0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 3, 0, 2, 5, 4, 0, 0, 3, 0, 0, 0, 3, 0, 0, 0, 0]","Counter({0: 44, 3: 4, 5: 3, 2: 2, 4: 2})",11,5,2,4,44
Cust4,"['0', '0', '0', '0', '0', '0', '0', '5', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '5', '0', '0', '-5', '0', '0', '-5', '5', '0', '0', '0', '0', '0', '0', '0', '-3', '0', '0', '0', '-3']",0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1,0,0,1,5,0,0,0,0,0,0,0,2,0,0,0,2,"[0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 1, 0, 0, 1, 5, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 2]","Counter({0: 48, 5: 3, 1: 2, 2: 2})",7,3,4,0,48
Cust5,"['0', '-3', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '3', '0', '0', '0', '0', '5', '3', '0', '0', '0', '0', '0', '5', '0', '3', '0', '3', '5', '3', '0', '0', '0', '3', '0', '5', '5', '0', '0', '5', '0']",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,5,4,0,0,0,0,0,5,0,4,0,4,5,4,0,0,0,4,0,5,5,0,0,5,0,"[0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 5, 4, 0, 0, 0, 0, 0, 5, 0, 4, 0, 4, 5, 4, 0, 0, 0, 4, 0, 5, 5, 0, 0, 5, 0]","Counter({0: 42, 4: 6, 5: 6, 2: 1})",13,12,1,0,42
Cust6,"['1', '1', '3', '3', '-3', '3', '3', '5', '5', '5', '5', '1', '3', '1', '1', '0', '5', '0', '3', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '3', '3', '0', '3', '0', '3', '5', '5', '5', '0', '-3', '0', '0', '0', '0', '0', '0', '3', '1', '1']",3,3,4,4,2,4,4,5,5,5,5,3,4,3,3,0,5,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,4,0,4,5,5,5,0,2,0,0,0,0,0,0,4,3,3,"[3, 3, 4, 4, 2, 4, 4, 5, 5, 5, 5, 3, 4, 3, 3, 0, 5, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 4, 0, 4, 0, 4, 5, 5, 5, 0, 2, 0, 0, 0, 0, 0, 0, 4, 3, 3]","Counter({0: 27, 4: 11, 5: 8, 3: 7, 2: 2})",28,19,2,7,27
Cust7,"['0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '5', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '1', '-3', '0', '0', '5', '5', '0', '0', '5', '0', '0', '3', '0', '0', '0', '5', '0', '0', '0', '0', '0', '0', '0', '0', '0', '5', '0', '5']",0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,5,5,0,0,5,0,0,4,0,0,0,5,0,0,0,0,0,0,0,0,0,5,0,5,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 2, 0, 0, 5, 5, 0, 0, 5, 0, 0, 4, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 5]","Counter({0: 45, 5: 7, 3: 1, 2: 1, 4: 1})",10,8,1,1,45
Cust8,"['3', '0', '0', '5', '0', '0', '0', '5', '0', '5', '3', '0', '0', '0', '0', '0', '3', '0', '5', '5', '0', '0', '0', '0', '0', '0', '0', '0', '5', '0', '5', '5', '3', '0', '0', '5', '0', '0', '5', '5', '5', '3', '5', '5', '0', '0', '5', '0', '0', '5', '5', '0', '5', '0', '5']",4,0,0,5,0,0,0,5,0,5,4,0,0,0,0,0,4,0,5,5,0,0,0,0,0,0,0,0,5,0,5,5,4,0,0,5,0,0,5,5,5,4,5,5,0,0,5,0,0,5,5,0,5,0,5,"[4, 0, 0, 5, 0, 0, 0, 5, 0, 5, 4, 0, 0, 0, 0, 0, 4, 0, 5, 5, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 5, 5, 4, 0, 0, 5, 0, 0, 5, 5, 5, 4, 5, 5, 0, 0, 5, 0, 0, 5, 5, 0, 5, 0, 5]","Counter({0: 31, 5: 19, 4: 5})",24,24,0,0,31
Cust9,"['5', '0', '0', '0', '0', '0', '3', '0', '0', '0', '0', '3', '0', '0', '0', '0', '0', '0', '1', '0', '0', '0', '0', '0', '0', '5', '0', '0', '0', '0', '1', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '-3', '0', '0', '0', '0', '3']",5,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,3,0,0,0,0,0,0,5,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,4,"[5, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 4]","Counter({0: 47, 4: 3, 5: 2, 3: 2, 2: 1})",8,5,1,2,47
andrew,"['3', '3', '1', '0', '3', '0', '3', '0', '0', '-3', '0', '5', '3', '0', '1', '0', '0', '5', '3', '0', '0', '0', '0', '1', '0', '3', '0', '1', '0', '0', '3', '5', '3', '3', '0', '0', '0', '5', '0', '5', '0', '3', '3', '0', '-3', '0', '0', '5', '1', '5', '3', '0', '3', '0', '0']",4,4,3,0,4,0,4,0,0,2,0,5,4,0,3,0,0,5,4,0,0,0,0,3,0,4,0,3,0,0,4,5,4,4,0,0,0,5,0,5,0,4,4,0,2,0,0,5,3,5,4,0,4,0,0,"[4, 4, 3, 0, 4, 0, 4, 0, 0, 2, 0, 5, 4, 0, 3, 0, 0, 5, 4, 0, 0, 0, 0, 3, 0, 4, 0, 3, 0, 0, 4, 5, 4, 4, 0, 0, 0, 5, 0, 5, 0, 4, 4, 0, 2, 0, 0, 5, 3, 5, 4, 0, 4, 0, 0]","Counter({0: 27, 4: 14, 5: 7, 3: 5, 2: 2})",28,21,2,5,27
ma,"['0', '0', '0', '0', '5', '0', '0', '0', '0', '3', '0', '0', '0', '0', '0', '0', '0', '0', '-3', '0', '0', '0', '0', '-3', '0', '0', '0', '0', '0', '0', '0', '3', '0', '3', '0', '0', '0', '-3', '0', '0', '0', '0', '3', '0', '0', '0', '0', '0', '0', '-3', '-3', '0', '0', '0', '0']",0,0,0,0,5,0,0,0,0,4,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,4,0,4,0,0,0,2,0,0,0,0,4,0,0,0,0,0,0,2,2,0,0,0,0,"[0, 0, 0, 0, 5, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 4, 0, 4, 0, 0, 0, 2, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 2, 2, 0, 0, 0, 0]","Counter({0: 45, 2: 5, 4: 4, 5: 1})",10,5,5,0,45
matt c,"['0', '3', '0', '0', '0', '0', '0', '0', '0', '5', '0', '5', '0', '0', '-3', '5', '0', '0', '1', '0', '0', '3', '0', '0', '3', '0', '0', '0', '0', '0', '1', '3', '3', '0', '0', '0', '0', '0', '5', '0', '0', '0', '5', '3', '0', '3', '0', '0', '0', '5', '5', '3', '0', '0', '0']",0,4,0,0,0,0,0,0,0,5,0,5,0,0,2,5,0,0,3,0,0,4,0,0,4,0,0,0,0,0,3,4,4,0,0,0,0,0,5,0,0,0,5,4,0,4,0,0,0,5,5,4,0,0,0,"[0, 4, 0, 0, 0, 0, 0, 0, 0, 5, 0, 5, 0, 0, 2, 5, 0, 0, 3, 0, 0, 4, 0, 0, 4, 0, 0, 0, 0, 0, 3, 4, 4, 0, 0, 0, 0, 0, 5, 0, 0, 0, 5, 4, 0, 4, 0, 0, 0, 5, 5, 4, 0, 0, 0]","Counter({0: 37, 4: 8, 5: 7, 3: 2, 2: 1})",18,15,1,2,37
Ocelot,"['5', '1', '0', '0', '0', '0', '0', '0', '0', '0', '0', '5', '0', '0', '3', '0', '0', '5', '3', '0', '0', '0', '0', '3', '0', '1', '1', '0', '0', '0', '3', '3', '0', '5', '0', '-3', '0', '3', '0', '0', '0', '5', '3', '0', '0', '0', '0', '0', '0', '0', '3', '0', '1', '0', '0']",5,3,0,0,0,0,0,0,0,0,0,5,0,0,4,0,0,5,4,0,0,0,0,4,0,3,3,0,0,0,4,4,0,5,0,2,0,4,0,0,0,5,4,0,0,0,0,0,0,0,4,0,3,0,0,"[5, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 4, 0, 0, 5, 4, 0, 0, 0, 0, 4, 0, 3, 3, 0, 0, 0, 4, 4, 0, 5, 0, 2, 0, 4, 0, 0, 0, 5, 4, 0, 0, 0, 0, 0, 0, 0, 4, 0, 3, 0, 0]","Counter({0: 37, 4: 8, 5: 5, 3: 4, 2: 1})",18,13,1,4,37
Cust10,"['5', '0', '0', '0', '1', '0', '0', '0', '0', '-5', '0', '5', '0', '0', '0', '0', '0', '3', '-3', '3', '0', '0', '0', '5', '0', '5', '0', '0', '0', '0', '3', '3', '0', '5', '0', '0', '0', '5', '0', '0', '0', '0', '3', '0', '0', '0', '0', '5', '0', '0', '0', '0', '0', '0', '0']",5,0,0,0,3,0,0,0,0,1,0,5,0,0,0,0,0,4,2,4,0,0,0,5,0,5,0,0,0,0,4,4,0,5,0,0,0,5,0,0,0,0,4,0,0,0,0,5,0,0,0,0,0,0,0,"[5, 0, 0, 0, 3, 0, 0, 0, 0, 1, 0, 5, 0, 0, 0, 0, 0, 4, 2, 4, 0, 0, 0, 5, 0, 5, 0, 0, 0, 0, 4, 4, 0, 5, 0, 0, 0, 5, 0, 0, 0, 0, 4, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0]","Counter({0: 40, 5: 7, 4: 5, 3: 1, 1: 1, 2: 1})",15,12,2,1,40
