users,ratings,The Hitchhiker's Guide To The Galaxy,Watership Down,The Five People You Meet in Heaven,Speak,I Know Why the Caged Bird Sings,Thirteen Reasons Why,Foundation Series,The Sisterhood of the Travelling Pants,A Great and Terrible Beauty,The Da Vinci Code,The Princess Diaries,Ender's Game,The Hunt for Red October,The Hunger Games,The Great Gatsby,Ranger's Apprentice Series,Inkheart,Neuromancer,Lord of the Flies,The Princess Bride,Dinotopia: A Land Apart from Time,Far North,Practical Magic,Brave New World,The Summer Tree,Flowers For Algernon,Owl in Love,Naruto,Bleach (graphic novel),Kiss the Dust,To Kill a Mockingbird,The Lion the Witch and the Wardrobe,The Bourne Series,Life of Pi,Breathless,Twilight Series,Sabriel,Nineteen Eighty-Four (1984),Eragon,Hatchet,My Sister's Keeper,The Golden Compass,Harry Potter Series,Holes,Shonen Jump Series,The Shadow Club,Bone Series,Maus: A Survivor's Tale,The Joy Luck Club,The Lord of the Rings,The Hobbit,Shattered,The War Of The Worlds,Dealing with Dragons,The Chrysalids,new_ratings,rating_distribution,read_books,liked_books,hated_books,neutral_books,unread_books
crom,"['0', '0', '3', '0', '0', '0', '0', '0', '0', '-3', '0', '0', '0', '0', '5', '0', '0', '0', '5', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '5', '0', '0', '0', '0', '0', '0', '5', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '3', '3', '0', '0', '0', '0']",0,0,4,0,0,0,0,0,0,2,0,0,0,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,"[0, 0, 4, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 5, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 4, 0, 0, 0, 0]","Counter({0: 47, 5: 4, 4: 3, 2: 1})",8,7,1,0,47
joe,"['3', '0', '0', '0', '0', '0', '0', '0', '0', '3', '0', '5', '0', '0', '5', '0', '1', '1', '3', '0', '1', '0', '3', '0', '0', '0', '0', '3', '3', '0', '5', '3', '1', '3', '0', '1', '0', '3', '1', '0', '0', '5', '3', '0', '5', '0', '1', '0', '0', '1', '5', '0', '0', '0', '0']",4,0,0,0,0,0,0,0,0,4,0,5,0,0,5,0,3,3,4,0,3,0,4,0,0,0,0,4,4,0,5,4,3,4,0,3,0,4,3,0,0,5,4,0,5,0,3,0,0,3,5,0,0,0,0,"[4, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 5, 0, 0, 5, 0, 3, 3, 4, 0, 3, 0, 4, 0, 0, 0, 0, 4, 4, 0, 5, 4, 3, 4, 0, 3, 0, 4, 3, 0, 0, 5, 4, 0, 5, 0, 3, 0, 0, 3, 5, 0, 0, 0, 0]","Counter({0: 31, 4: 10, 3: 8, 5: 6})",24,16,0,8,31
Priscilla,"['5', '0', '0', '0', '0', '0', '5', '0', '0', '0', '0', '3', '3', '0', '1', '0', '0', '0', '0', '0', '0', '0', '3', '5', '0', '0', '0', '0', '0', '0', '0', '1', '0', '3', '0', '0', '0', '5', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '-3', '1', '0', '1', '0', '-3']",5,0,0,0,0,0,5,0,0,0,0,4,4,0,3,0,0,0,0,0,0,0,4,5,0,0,0,0,0,0,0,3,0,4,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,2,3,0,3,0,2,"[5, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 4, 4, 0, 3, 0, 0, 0, 0, 0, 0, 0, 4, 5, 0, 0, 0, 0, 0, 0, 0, 3, 0, 4, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 3, 0, 3, 0, 2]","Counter({0: 41, 5: 4, 4: 4, 3: 4, 2: 2})",14,8,2,4,41
Harry Potter,"['0', '0', '0', '0', '0', '0', '0', '0', '0', '-5', '0', '1', '0', '0', '0', '0', '0', '0', '1', '0', '0', '0', '0', '0', '0', '0', '0', '1', '1', '0', '0', '0', '0', '0', '0', '0', '0', '3', '0', '0', '0', '0', '5', '0', '0', '0', '0', '0', '0', '3', '0', '0', '0', '0', '0']",0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,4,0,0,0,0,5,0,0,0,0,0,0,4,0,0,0,0,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 3, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 3, 3, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0]","Counter({0: 47, 3: 4, 4: 2, 1: 1, 5: 1})",8,3,1,4,47
I. Ned,"['0', '0', '0', '0', '0', '0', '0', '0', '0', '1', '0', '0', '0', '0', '0', '0', '0', '0', '3', '0', '0', '0', '0', '-3', '0', '0', '0', '0', '0', '0', '1', '1', '0', '0', '0', '-3', '0', '0', '3', '1', '0', '3', '1', '0', '0', '0', '0', '0', '3', '0', '0', '0', '0', '0', '-3']",0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,4,0,0,0,0,2,0,0,0,0,0,0,3,3,0,0,0,2,0,0,4,3,0,4,3,0,0,0,0,0,4,0,0,0,0,0,2,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 3, 3, 0, 0, 0, 2, 0, 0, 4, 3, 0, 4, 3, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 2]","Counter({0: 43, 3: 5, 4: 4, 2: 3})",12,4,3,5,43
ender,"['5', '0', '0', '0', '0', '0', '5', '0', '0', '3', '0', '5', '0', '0', '0', '0', '0', '1', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '3', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '5', '3', '0', '5', '0', '3']",5,0,0,0,0,0,5,0,0,4,0,5,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,0,5,0,4,"[5, 0, 0, 0, 0, 0, 5, 0, 0, 4, 0, 5, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 4, 0, 5, 0, 4]","Counter({0: 45, 5: 5, 4: 4, 3: 1})",10,9,0,1,45
Apollo,"['0', '0', '5', '0', '0', '0', '0', '3', '0', '0', '1', '0', '0', '0', '-5', '0', '0', '0', '0', '0', '0', '0', '0', '5', '0', '0', '0', '0', '0', '0', '3', '-5', '0', '0', '0', '0', '0', '3', '0', '0', '0', '0', '3', '3', '0', '0', '0', '0', '3', '0', '-3', '0', '0', '0', '1']",0,0,5,0,0,0,0,4,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,4,1,0,0,0,0,0,4,0,0,0,0,4,4,0,0,0,0,4,0,2,0,0,0,3,"[0, 0, 5, 0, 0, 0, 0, 4, 0, 0, 3, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 4, 1, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 4, 4, 0, 0, 0, 0, 4, 0, 2, 0, 0, 0, 3]","Counter({0: 42, 4: 6, 5: 2, 3: 2, 1: 2, 2: 1})",13,8,3,2,42
Zax,"['0', '3', '0', '0', '0', '0', '0', '0', '1', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '5', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '5', '0', '0', '0', '0', '0', '0', '5', '0', '0', '0', '5', '0', '0', '0', '3', '0', '0', '5', '5', '0', '0', '0', '1']",0,4,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,5,0,0,0,5,0,0,0,4,0,0,5,5,0,0,0,3,"[0, 4, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 5, 0, 0, 0, 4, 0, 0, 5, 5, 0, 0, 0, 3]","Counter({0: 45, 5: 6, 4: 2, 3: 2})",10,8,0,2,45
Jaluka,"['0', '5', '0', '0', '0', '0', '0', '0', '0', '1', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '3', '0', '0', '0', '0', '0', '0', '5', '0', '0', '0', '0', '0', '0', '3', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '5', '0', '0', '0', '0', '0', '0']",0,5,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,5,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,"[0, 5, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0]","Counter({0: 49, 5: 3, 4: 2, 3: 1})",6,5,0,1,49
Sanity,"['0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '5', '0', '0', '0', '0', '0', '0', '0', '0', '0', '5', '0', '0', '5', '0', '3', '0', '0', '0', '0', '0', '0', '0', '0', '5', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,5,0,0,5,0,4,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 5, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","Counter({0: 50, 5: 4, 4: 1})",5,5,0,0,50
Brix,"['1', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '1', '0', '0', '0', '1', '0', '0', '0', '0', '3', '0', '0', '0', '0', '0', '0', '-3', '0', '0', '0', '0', '0', '0', '3', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '3']",3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,4,0,0,0,0,0,0,2,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,"[3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 3, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4]","Counter({0: 48, 3: 3, 4: 3, 2: 1})",7,3,1,3,48
sage32,"['0', '0', '0', '0', '0', '0', '0', '-3', '0', '3', '1', '0', '0', '0', '0', '0', '0', '0', '3', '5', '0', '0', '0', '3', '0', '0', '0', '0', '0', '0', '3', '0', '0', '0', '0', '-5', '0', '0', '0', '1', '0', '0', '5', '3', '3', '0', '0', '0', '1', '0', '0', '0', '0', '0', '5']",0,0,0,0,0,0,0,2,0,4,3,0,0,0,0,0,0,0,4,5,0,0,0,4,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,3,0,0,5,4,4,0,0,0,3,0,0,0,0,0,5,"[0, 0, 0, 0, 0, 0, 0, 2, 0, 4, 3, 0, 0, 0, 0, 0, 0, 0, 4, 5, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 1, 0, 0, 0, 3, 0, 0, 5, 4, 4, 0, 0, 0, 3, 0, 0, 0, 0, 0, 5]","Counter({0: 41, 4: 6, 3: 3, 5: 3, 2: 1, 1: 1})",14,9,2,3,41
clipper,"['5', '0', '0', '0', '0', '0', '0', '1', '3', '0', '0', '0', '0', '0', '0', '0', '0', '0', '-3', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '1', '5', '0', '3', '0', '0', '0', '0', '0', '0', '0', '5', '5', '0', '0', '0', '0', '0', '3', '5', '5', '0', '0', '0', '0']",5,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,5,0,4,0,0,0,0,0,0,0,5,5,0,0,0,0,0,4,5,5,0,0,0,0,"[5, 0, 0, 0, 0, 0, 0, 3, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 5, 0, 4, 0, 0, 0, 0, 0, 0, 0, 5, 5, 0, 0, 0, 0, 0, 4, 5, 5, 0, 0, 0, 0]","Counter({0: 43, 5: 6, 4: 3, 3: 2, 2: 1})",12,9,1,2,43
YJAM,"['0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '1', '0', '0', '0', '3', '0', '0', '3', '0', '0', '0', '0', '3', '0', '0', '0', '0', '0', '5', '5', '0', '5', '0', '0']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,4,0,0,0,0,4,0,0,0,0,0,5,5,0,5,0,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 4, 0, 0, 4, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 5, 5, 0, 5, 0, 0]","Counter({0: 48, 4: 3, 5: 3, 3: 1})",7,6,0,1,48
Martin,"['1', '-3', '0', '0', '0', '0', '0', '0', '0', '0', '0', '3', '3', '0', '-3', '0', '0', '0', '-3', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '-3', '-3', '0', '0', '0', '5', '0', '0', '0', '0', '0', '1', '3', '5', '0', '-3', '0', '0']",3,2,0,0,0,0,0,0,0,0,0,4,4,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,5,0,0,0,0,0,3,4,5,0,2,0,0,"[3, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 4, 0, 2, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 0, 0, 0, 5, 0, 0, 0, 0, 0, 3, 4, 5, 0, 2, 0, 0]","Counter({0: 42, 2: 6, 4: 3, 3: 2, 5: 2})",13,5,6,2,42
Mike,"['5', '0', '0', '0', '0', '0', '5', '0', '0', '1', '0', '5', '3', '0', '0', '0', '0', '3', '0', '0', '0', '0', '0', '3', '0', '5', '0', '0', '0', '0', '5', '5', '5', '3', '0', '0', '0', '3', '0', '0', '0', '5', '3', '0', '0', '0', '0', '5', '0', '5', '3', '0', '0', '0', '0']",5,0,0,0,0,0,5,0,0,3,0,5,4,0,0,0,0,4,0,0,0,0,0,4,0,5,0,0,0,0,5,5,5,4,0,0,0,4,0,0,0,5,4,0,0,0,0,5,0,5,4,0,0,0,0,"[5, 0, 0, 0, 0, 0, 5, 0, 0, 3, 0, 5, 4, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 4, 0, 5, 0, 0, 0, 0, 5, 5, 5, 4, 0, 0, 0, 4, 0, 0, 0, 5, 4, 0, 0, 0, 0, 5, 0, 5, 4, 0, 0, 0, 0]","Counter({0: 37, 5: 10, 4: 7, 3: 1})",18,17,0,1,37
Strongbad,"['5', '0', '-3', '0', '-3', '0', '0', '-5', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '-5', '0', '0', '0', '0', '0', '0', '0', '3', '0', '3', '0', '0', '0', '-5', '0', '1', '0', '5', '5', '1', '0', '0', '0', '5', '0', '1', '1', '0', '0', '0', '3']",5,0,2,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,4,0,0,0,1,0,3,0,5,5,3,0,0,0,5,0,3,3,0,0,0,4,"[5, 0, 2, 0, 2, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 4, 0, 4, 0, 0, 0, 1, 0, 3, 0, 5, 5, 3, 0, 0, 0, 5, 0, 3, 3, 0, 0, 0, 4]","Counter({0: 39, 5: 4, 3: 4, 1: 3, 4: 3, 2: 2})",16,7,5,4,39
Brian,"['5', '0', '0', '0', '0', '0', '0', '0', '0', '3', '0', '0', '0', '0', '5', '0', '0', '0', '0', '5', '0', '0', '0', '5', '0', '3', '0', '0', '0', '0', '1', '0', '0', '0', '0', '1', '0', '5', '3', '5', '0', '0', '5', '3', '0', '0', '0', '0', '0', '3', '5', '0', '0', '0', '0']",5,0,0,0,0,0,0,0,0,4,0,0,0,0,5,0,0,0,0,5,0,0,0,5,0,4,0,0,0,0,3,0,0,0,0,3,0,5,4,5,0,0,5,4,0,0,0,0,0,4,5,0,0,0,0,"[5, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 5, 0, 0, 0, 0, 5, 0, 0, 0, 5, 0, 4, 0, 0, 0, 0, 3, 0, 0, 0, 0, 3, 0, 5, 4, 5, 0, 0, 5, 4, 0, 0, 0, 0, 0, 4, 5, 0, 0, 0, 0]","Counter({0: 40, 5: 8, 4: 5, 3: 2})",15,13,0,2,40
Douglas Anderson,"['5', '0', '0', '0', '0', '0', '0', '0', '0', '3', '0', '0', '0', '0', '5', '0', '0', '0', '0', '5', '0', '0', '0', '5', '0', '3', '0', '0', '0', '0', '1', '0', '0', '0', '0', '1', '0', '5', '3', '5', '0', '0', '5', '3', '0', '0', '0', '0', '0', '3', '5', '0', '0', '0', '0']",5,0,0,0,0,0,0,0,0,4,0,0,0,0,5,0,0,0,0,5,0,0,0,5,0,4,0,0,0,0,3,0,0,0,0,3,0,5,4,5,0,0,5,4,0,0,0,0,0,4,5,0,0,0,0,"[5, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 5, 0, 0, 0, 0, 5, 0, 0, 0, 5, 0, 4, 0, 0, 0, 0, 3, 0, 0, 0, 0, 3, 0, 5, 4, 5, 0, 0, 5, 4, 0, 0, 0, 0, 0, 4, 5, 0, 0, 0, 0]","Counter({0: 40, 5: 8, 4: 5, 3: 2})",15,13,0,2,40
chrispeh,"['0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '3', '0', '0', '-5', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","Counter({0: 53, 4: 1, 1: 1})",2,1,1,0,53
Rudy A,"['0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '3', '0', '0', '1', '0', '0', '0', '0', '0', '5', '0', '0', '3', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,0,0,0,0,0,5,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 3, 0, 0, 0, 0, 0, 5, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","Counter({0: 51, 4: 2, 3: 1, 5: 1})",4,3,0,1,51
McLovin,"['0', '0', '0', '0', '0', '0', '0', '0', '0', '3', '0', '0', '0', '0', '0', '0', '0', '0', '5', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '-5', '3', '0', '-5', '0', '0', '0', '0', '0', '0', '0', '0', '-3', '0', '0', '0', '0', '0', '0', '3', '0', '0', '0', '0', '0']",0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,1,4,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,4,0,0,0,0,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0]","Counter({0: 48, 4: 3, 1: 2, 5: 1, 2: 1})",7,4,3,0,48
