users,ratings,The Hitchhiker's Guide To The Galaxy,Watership Down,The Five People You Meet in Heaven,Speak,I Know Why the Caged Bird Sings,Thirteen Reasons Why,Foundation Series,The Sisterhood of the Travelling Pants,A Great and Terrible Beauty,The Da Vinci Code,The Princess Diaries,Ender's Game,The Hunt for Red October,The Hunger Games,The Great Gatsby,Ranger's Apprentice Series,Inkheart,Neuromancer,Lord of the Flies,The Princess Bride,Dinotopia: A Land Apart from Time,Far North,Practical Magic,Brave New World,The Summer Tree,Flowers For Algernon,Owl in Love,Naruto,Bleach (graphic novel),Kiss the Dust,To Kill a Mockingbird,The Lion the Witch and the Wardrobe,The Bourne Series,Life of Pi,Breathless,Twilight Series,Sabriel,Nineteen Eighty-Four (1984),Eragon,Hatchet,My Sister's Keeper,The Golden Compass,Harry Potter Series,Holes,Shonen Jump Series,The Shadow Club,Bone Series,Maus: A Survivor's Tale,The Joy Luck Club,The Lord of the Rings,The Hobbit,Shattered,The War Of The Worlds,Dealing with Dragons,The Chrysalids,new_ratings,rating_distribution,read_books,liked_books,hated_books,neutral_books,unread_books
J-Rok,"['5', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '-3', '0', '-5', '0', '0', '0', '0', '0', '0', '-5', '0', '0', '0', '1', '0', '0', '0', '0', '0', '0', '0', '0']",5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,"[5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0]","Counter({0: 50, 1: 2, 5: 1, 2: 1, 3: 1})",5,1,3,1,50
snoosh,"['0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '1', '0', '0', '0', '0', '5', '0', '0', '0', '0', '0', '0', '0', '5', '0', '1', '0', '0', '0', '0', '3', '5', '0', '-3', '5', '3', '0', '0', '-5', '0', '0', '5', '5', '0', '0', '0', '0']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,5,0,0,0,0,0,0,0,5,0,3,0,0,0,0,4,5,0,2,5,4,0,0,1,0,0,5,5,0,0,0,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 5, 0, 3, 0, 0, 0, 0, 4, 5, 0, 2, 5, 4, 0, 0, 1, 0, 0, 5, 5, 0, 0, 0, 0]","Counter({0: 43, 5: 6, 3: 2, 4: 2, 2: 1, 1: 1})",12,8,2,2,43
Huxil,"['0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '1', '3', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '3', '0', '1', '0', '0']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 3, 0, 0]","Counter({0: 51, 3: 2, 4: 2})",4,2,0,2,51
hidan,"['0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '3', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '5', '5', '0', '0', '3', '0', '5', '0', '0', '0', '0', '5', '0', '0', '0', '5', '5', '5', '0', '0', '0', '0', '5', '5', '0', '0', '0', '0']",0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,4,0,5,0,0,0,0,5,0,0,0,5,5,5,0,0,0,0,5,5,0,0,0,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 5, 0, 0, 4, 0, 5, 0, 0, 0, 0, 5, 0, 0, 0, 5, 5, 5, 0, 0, 0, 0, 5, 5, 0, 0, 0, 0]","Counter({0: 44, 5: 9, 4: 2})",11,11,0,0,44
Leah,"['0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '3', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '1', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","Counter({0: 53, 4: 1, 3: 1})",2,1,0,1,53
Boxxy,"['0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '5', '0', '5', '0', '0', '5', '0', '0', '0', '0', '0', '5', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 5, 0, 0, 5, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","Counter({0: 51, 5: 4})",4,4,0,0,51
Rosanna,"['0', '0', '0', '0', '0', '0', '0', '0', '0', '5', '5', '3', '0', '0', '-3', '0', '0', '0', '1', '0', '0', '0', '0', '0', '0', '0', '0', '1', '0', '0', '1', '5', '0', '1', '0', '5', '0', '0', '0', '0', '0', '0', '5', '5', '0', '0', '0', '0', '0', '0', '-3', '0', '0', '0', '0']",0,0,0,0,0,0,0,0,0,5,5,4,0,0,2,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,3,5,0,3,0,5,0,0,0,0,0,0,5,5,0,0,0,0,0,0,2,0,0,0,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 5, 4, 0, 0, 2, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 3, 5, 0, 3, 0, 5, 0, 0, 0, 0, 0, 0, 5, 5, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0]","Counter({0: 42, 5: 6, 3: 4, 2: 2, 4: 1})",13,7,2,4,42
Claire,"['5', '3', '0', '0', '0', '0', '0', '5', '0', '3', '1', '0', '0', '0', '1', '0', '1', '0', '3', '0', '0', '0', '0', '-3', '0', '5', '0', '0', '0', '0', '5', '5', '0', '1', '0', '-5', '5', '0', '3', '3', '0', '5', '5', '5', '0', '0', '0', '0', '0', '5', '5', '0', '1', '0', '1']",5,4,0,0,0,0,0,5,0,4,3,0,0,0,3,0,3,0,4,0,0,0,0,2,0,5,0,0,0,0,5,5,0,3,0,1,5,0,4,4,0,5,5,5,0,0,0,0,0,5,5,0,3,0,3,"[5, 4, 0, 0, 0, 0, 0, 5, 0, 4, 3, 0, 0, 0, 3, 0, 3, 0, 4, 0, 0, 0, 0, 2, 0, 5, 0, 0, 0, 0, 5, 5, 0, 3, 0, 1, 5, 0, 4, 4, 0, 5, 5, 5, 0, 0, 0, 0, 0, 5, 5, 0, 3, 0, 3]","Counter({0: 31, 5: 11, 3: 6, 4: 5, 2: 1, 1: 1})",24,16,2,6,31
David,"['0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '-5', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '1', '0', '0', '5', '1', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '5']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,5,3,0,0,0,0,0,0,0,0,0,0,0,5,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 5, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5]","Counter({0: 50, 3: 2, 5: 2, 1: 1})",5,2,1,2,50
Zachary,"['0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '1', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '5', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '3', '0', '0', '1', '0', '5', '5', '0', '0', '0', '0', '0', '5', '0', '0', '0', '0']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,4,0,0,3,0,5,5,0,0,0,0,0,5,0,0,0,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 3, 0, 5, 5, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0]","Counter({0: 48, 5: 4, 3: 2, 4: 1})",7,5,0,2,48
ParseClaws,"['5', '5', '3', '0', '0', '0', '0', '0', '0', '-5', '0', '3', '0', '0', '3', '0', '0', '0', '3', '0', '0', '0', '0', '5', '0', '5', '0', '1', '1', '0', '3', '1', '0', '0', '0', '-5', '0', '5', '0', '0', '0', '0', '3', '3', '0', '0', '3', '0', '0', '0', '0', '0', '0', '0', '-3']",5,5,4,0,0,0,0,0,0,1,0,4,0,0,4,0,0,0,4,0,0,0,0,5,0,5,0,3,3,0,4,3,0,0,0,1,0,5,0,0,0,0,4,4,0,0,4,0,0,0,0,0,0,0,2,"[5, 5, 4, 0, 0, 0, 0, 0, 0, 1, 0, 4, 0, 0, 4, 0, 0, 0, 4, 0, 0, 0, 0, 5, 0, 5, 0, 3, 3, 0, 4, 3, 0, 0, 0, 1, 0, 5, 0, 0, 0, 0, 4, 4, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 2]","Counter({0: 36, 4: 8, 5: 5, 3: 3, 1: 2, 2: 1})",19,13,3,3,36
Tiffany,"['3', '0', '0', '1', '0', '0', '0', '-3', '0', '5', '-3', '0', '0', '0', '3', '0', '3', '0', '1', '3', '0', '0', '0', '0', '0', '0', '0', '-5', '1', '0', '5', '5', '0', '0', '0', '-5', '0', '0', '1', '3', '5', '3', '5', '5', '0', '0', '-3', '0', '0', '5', '5', '3', '5', '0', '3']",4,0,0,3,0,0,0,2,0,5,2,0,0,0,4,0,4,0,3,4,0,0,0,0,0,0,0,1,3,0,5,5,0,0,0,1,0,0,3,4,5,4,5,5,0,0,2,0,0,5,5,4,5,0,4,"[4, 0, 0, 3, 0, 0, 0, 2, 0, 5, 2, 0, 0, 0, 4, 0, 4, 0, 3, 4, 0, 0, 0, 0, 0, 0, 0, 1, 3, 0, 5, 5, 0, 0, 0, 1, 0, 0, 3, 4, 5, 4, 5, 5, 0, 0, 2, 0, 0, 5, 5, 4, 5, 0, 4]","Counter({0: 29, 5: 9, 4: 8, 3: 4, 2: 3, 1: 2})",26,17,5,4,29
Sidney,"['0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '1', '0', '3', '0', '3', '0', '0', '0', '0', '1', '0', '0', '0', '5', '5', '0', '0', '3', '0', '3', '0', '0', '0', '0', '5', '5', '0', '0', '5', '0', '3', '0', '3', '0', '0', '5', '5', '0', '0', '0', '0']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,4,0,0,0,0,3,0,0,0,5,5,0,0,4,0,4,0,0,0,0,5,5,0,0,5,0,4,0,4,0,0,5,5,0,0,0,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 4, 0, 4, 0, 0, 0, 0, 3, 0, 0, 0, 5, 5, 0, 0, 4, 0, 4, 0, 0, 0, 0, 5, 5, 0, 0, 5, 0, 4, 0, 4, 0, 0, 5, 5, 0, 0, 0, 0]","Counter({0: 40, 5: 7, 4: 6, 3: 2})",15,13,0,2,40
Tony,"['-5', '-5', '-5', '-5', '-5', '-5', '-5', '1', '1', '-5', '-5', '1', '1', '3', '5', '-5', '1', '1', '5', '1', '-5', '-5', '-5', '1', '1', '-5', '1', '-5', '1', '1', '3', '0', '0', '0', '0', '0', '3', '0', '0', '0', '3', '0', '0', '-3', '0', '-5', '-5', '-5', '0', '5', '5', '1', '1', '1', '1']",1,1,1,1,1,1,1,3,3,1,1,3,3,4,5,1,3,3,5,3,1,1,1,3,3,1,3,1,3,3,4,0,0,0,0,0,4,0,0,0,4,0,0,2,0,1,1,1,0,5,5,3,3,3,3,"[1, 1, 1, 1, 1, 1, 1, 3, 3, 1, 1, 3, 3, 4, 5, 1, 3, 3, 5, 3, 1, 1, 1, 3, 3, 1, 3, 1, 3, 3, 4, 0, 0, 0, 0, 0, 4, 0, 0, 0, 4, 0, 0, 2, 0, 1, 1, 1, 0, 5, 5, 3, 3, 3, 3]","Counter({1: 18, 3: 16, 0: 12, 4: 4, 5: 4, 2: 1})",43,8,19,16,12
Mark,"['5', '3', '0', '0', '0', '0', '0', '0', '0', '3', '0', '5', '0', '0', '3', '0', '0', '0', '1', '0', '0', '0', '0', '3', '0', '0', '0', '3', '3', '0', '5', '1', '0', '3', '0', '0', '0', '0', '3', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '5']",5,4,0,0,0,0,0,0,0,4,0,5,0,0,4,0,0,0,3,0,0,0,0,4,0,0,0,4,4,0,5,3,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,"[5, 4, 0, 0, 0, 0, 0, 0, 0, 4, 0, 5, 0, 0, 4, 0, 0, 0, 3, 0, 0, 0, 0, 4, 0, 0, 0, 4, 4, 0, 5, 3, 0, 4, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5]","Counter({0: 41, 4: 8, 5: 4, 3: 2})",14,12,0,2,41
NuNu,"['0', '0', '0', '0', '0', '0', '0', '1', '0', '0', '0', '0', '0', '0', '0', '0', '3', '0', '3', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '3', '0', '0', '1', '0', '5', '0', '0', '0', '0', '0', '1', '3', '3', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0']",0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,0,5,0,0,0,0,0,3,4,4,0,0,0,0,0,0,0,0,0,0,0,"[0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 3, 0, 5, 0, 0, 0, 0, 0, 3, 4, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","Counter({0: 46, 4: 5, 3: 3, 5: 1})",9,6,0,3,46
Hamza ALi,"['0', '0', '0', '0', '0', '0', '0', '-5', '0', '5', '1', '0', '0', '0', '1', '0', '5', '0', '-3', '0', '3', '0', '0', '0', '0', '0', '0', '-5', '0', '0', '-3', '5', '0', '5', '0', '3', '0', '0', '1', '0', '3', '1', '3', '5', '0', '0', '0', '0', '0', '1', '-5', '0', '0', '0', '0']",0,0,0,0,0,0,0,1,0,5,3,0,0,0,3,0,5,0,2,0,4,0,0,0,0,0,0,1,0,0,2,5,0,5,0,4,0,0,3,0,4,3,4,5,0,0,0,0,0,3,1,0,0,0,0,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 5, 3, 0, 0, 0, 3, 0, 5, 0, 2, 0, 4, 0, 0, 0, 0, 0, 0, 1, 0, 0, 2, 5, 0, 5, 0, 4, 0, 0, 3, 0, 4, 3, 4, 5, 0, 0, 0, 0, 0, 3, 1, 0, 0, 0, 0]","Counter({0: 36, 5: 5, 3: 5, 4: 4, 1: 3, 2: 2})",19,9,5,5,36
dencellia,"['0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '-3', '0', '0', '0', '0', '0', '0', '0', '0', '1', '3', '0', '1', '0', '0', '0', '0', '3', '0', '0', '0', '0', '0', '0', '5', '0', '3', '0', '0', '0', '0', '-3', '3', '0', '0', '0', '0']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,3,4,0,3,0,0,0,0,4,0,0,0,0,0,0,5,0,4,0,0,0,0,2,4,0,0,0,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 3, 4, 0, 3, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 5, 0, 4, 0, 0, 0, 0, 2, 4, 0, 0, 0, 0]","Counter({0: 46, 4: 4, 2: 2, 3: 2, 5: 1})",9,5,2,2,46
Nathan,"['0', '0', '0', '0', '0', '0', '0', '-5', '0', '5', '1', '0', '0', '0', '1', '0', '5', '0', '-3', '0', '3', '0', '0', '0', '0', '0', '0', '-5', '0', '0', '-3', '5', '0', '5', '0', '3', '0', '0', '1', '0', '3', '1', '3', '5', '0', '0', '0', '0', '0', '1', '-5', '0', '0', '0', '0']",0,0,0,0,0,0,0,1,0,5,3,0,0,0,3,0,5,0,2,0,4,0,0,0,0,0,0,1,0,0,2,5,0,5,0,4,0,0,3,0,4,3,4,5,0,0,0,0,0,3,1,0,0,0,0,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 5, 3, 0, 0, 0, 3, 0, 5, 0, 2, 0, 4, 0, 0, 0, 0, 0, 0, 1, 0, 0, 2, 5, 0, 5, 0, 4, 0, 0, 3, 0, 4, 3, 4, 5, 0, 0, 0, 0, 0, 3, 1, 0, 0, 0, 0]","Counter({0: 36, 5: 5, 3: 5, 4: 4, 1: 3, 2: 2})",19,9,5,5,36
James,"['3', '1', '0', '0', '0', '0', '3', '-3', '0', '0', '1', '0', '0', '0', '0', '0', '0', '0', '1', '1', '0', '0', '0', '-5', '0', '0', '0', '-5', '-5', '0', '-3', '5', '0', '3', '0', '-5', '0', '0', '0', '5', '0', '5', '1', '3', '0', '0', '0', '0', '0', '-5', '5', '0', '-3', '0', '5']",4,3,0,0,0,0,4,2,0,0,3,0,0,0,0,0,0,0,3,3,0,0,0,1,0,0,0,1,1,0,2,5,0,4,0,1,0,0,0,5,0,5,3,4,0,0,0,0,0,1,5,0,2,0,5,"[4, 3, 0, 0, 0, 0, 4, 2, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 3, 3, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 2, 5, 0, 4, 0, 1, 0, 0, 0, 5, 0, 5, 3, 4, 0, 0, 0, 0, 0, 1, 5, 0, 2, 0, 5]","Counter({0: 33, 3: 5, 1: 5, 5: 5, 4: 4, 2: 3})",22,9,8,5,33
KeeLed,"['0', '0', '0', '5', '0', '0', '0', '5', '0', '5', '5', '0', '0', '0', '0', '0', '5', '-3', '-3', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '1', '0', '0', '0', '0', '5', '0', '0', '5', '0', '5', '5', '5', '5', '0', '0', '0', '0', '0', '3', '1', '0', '0', '0', '0']",0,0,0,5,0,0,0,5,0,5,5,0,0,0,0,0,5,2,2,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,5,0,0,5,0,5,5,5,5,0,0,0,0,0,4,3,0,0,0,0,"[0, 0, 0, 5, 0, 0, 0, 5, 0, 5, 5, 0, 0, 0, 0, 0, 5, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 5, 0, 0, 5, 0, 5, 5, 5, 5, 0, 0, 0, 0, 0, 4, 3, 0, 0, 0, 0]","Counter({0: 39, 5: 11, 2: 2, 3: 2, 4: 1})",16,12,2,2,39
Megan,"['5', '5', '0', '0', '0', '0', '0', '0', '0', '3', '0', '5', '0', '0', '1', '0', '5', '0', '1', '5', '0', '0', '0', '0', '0', '1', '0', '5', '0', '0', '3', '5', '5', '0', '0', '5', '0', '0', '3', '0', '0', '3', '5', '5', '0', '0', '0', '0', '0', '5', '5', '0', '5', '0', '0']",5,5,0,0,0,0,0,0,0,4,0,5,0,0,3,0,5,0,3,5,0,0,0,0,0,3,0,5,0,0,4,5,5,0,0,5,0,0,4,0,0,4,5,5,0,0,0,0,0,5,5,0,5,0,0,"[5, 5, 0, 0, 0, 0, 0, 0, 0, 4, 0, 5, 0, 0, 3, 0, 5, 0, 3, 5, 0, 0, 0, 0, 0, 3, 0, 5, 0, 0, 4, 5, 5, 0, 0, 5, 0, 0, 4, 0, 0, 4, 5, 5, 0, 0, 0, 0, 0, 5, 5, 0, 5, 0, 0]","Counter({0: 34, 5: 14, 4: 4, 3: 3})",21,18,0,3,34
